Datum,Super,E10,Diesel
2022-07-14 21:24:32,1.845,1.784,1.96
2022-07-14 22:22:41,1.842,1.782,1.96
2022-07-15 05:43:22,1.948,1.89,2.065
2022-07-15 08:53:21,1.837,1.779,1.99
2022-07-15 09:15:54,1.817,1.759,1.976
2022-07-15 10:15:56,1.811,1.753,1.966
2022-07-15 11:15:58,1.818,1.76,1.96
2022-07-15 12:16:01,1.766,1.709,1.912
2022-07-15 13:16:03,1.771,1.714,1.908
2022-07-15 14:16:05,1.78,1.722,1.895
2022-07-15 15:16:07,1.769,1.712,1.879
2022-07-15 16:16:10,1.769,1.712,1.878
2022-07-16 08:09:32,1.821,1.763,1.941
2022-07-16 09:09:34,1.783,1.726,1.902
2022-07-16 10:09:36,1.779,1.721,1.903
2022-07-16 11:09:39,1.798,1.74,1.935
2022-07-16 12:09:41,1.773,1.715,1.907
2022-07-16 13:09:43,1.777,1.719,1.907
2022-07-16 14:09:45,1.788,1.73,1.923
2022-07-20 10:18:56,1.801,1.742,1.955
2022-07-20 11:18:59,1.818,1.758,1.965
2022-07-20 12:19:01,1.781,1.722,1.937
2022-07-20 13:19:03,1.787,1.728,1.943
2022-07-20 14:19:06,1.801,1.742,1.951
2022-07-20 15:19:08,1.788,1.729,1.926
2022-07-20 16:19:10,1.784,1.725,1.921
2022-07-20 17:19:13,1.793,1.734,1.931
2022-07-20 17:35:04,1.804,1.745,1.943
2022-07-20 18:35:07,1.779,1.72,1.925
2022-07-20 19:35:09,1.776,1.716,1.923
2022-07-20 20:35:11,1.839,1.783,1.982
2022-07-20 20:50:17,1.839,1.783,1.982
2022-07-20 21:05:28,1.826,1.765,1.976
2022-07-20 22:05:30,1.844,1.783,1.998
2022-07-20 23:05:32,1.859,1.798,2.013
2022-07-21 00:05:34,1.859,1.798,2.013
2022-07-21 01:05:36,1.859,1.798,2.013
2022-07-21 02:05:38,1.859,1.798,2.013
2022-07-21 03:05:41,1.855,1.798,2.005
2022-07-21 04:05:43,1.887,1.828,2.021
2022-07-21 05:05:45,1.996,1.936,2.088
2022-07-21 06:05:48,1.987,1.928,2.079
2022-07-21 07:05:51,1.938,1.879,2.048
2022-07-21 08:05:54,1.942,1.883,2.054
2022-07-21 09:05:57,1.865,1.806,1.991
2022-07-21 09:51:17,1.841,1.782,1.972
2022-07-21 10:51:19,1.848,1.789,1.993
2022-07-21 11:51:22,1.81,1.751,1.963
2022-07-21 12:51:24,1.794,1.734,1.934
2022-07-21 13:51:26,1.817,1.758,1.958
2022-07-21 14:51:29,1.777,1.718,1.926
2022-07-21 15:51:31,1.776,1.717,1.936
2022-07-21 16:51:33,1.76,1.701,1.913
2022-07-21 17:51:35,1.784,1.725,1.936
2022-07-21 18:51:38,1.758,1.699,1.914
2022-07-21 19:51:41,1.753,1.694,1.91
2022-07-21 20:51:44,1.8,1.745,1.958
2022-07-21 21:51:46,1.829,1.767,1.991
2022-07-21 22:51:49,1.841,1.78,2.003
2022-07-21 23:51:52,1.841,1.78,2.003
2022-07-22 00:51:55,1.841,1.78,2.003
2022-07-22 01:51:59,1.841,1.78,2.003
2022-07-22 02:52:02,1.841,1.78,2.003
2022-07-22 03:52:05,1.865,1.809,2.005
2022-07-22 04:52:10,1.949,1.89,2.048
2022-07-22 06:01:57,1.874,1.815,2.012
2022-07-22 06:46:46,1.813,1.754,1.96
2022-07-22 07:46:49,1.835,1.776,1.983
2022-07-22 08:46:51,1.812,1.753,1.967
2022-07-22 09:46:53,1.789,1.73,1.933
2022-07-22 10:46:55,1.817,1.758,1.965
2022-07-22 11:48:09,1.782,1.723,1.936
2022-07-22 12:48:11,1.753,1.694,1.925
2022-07-22 13:48:14,1.767,1.708,1.939
2022-07-22 14:48:17,1.735,1.676,1.899
2022-07-22 15:48:20,1.752,1.693,1.918
2022-07-22 16:48:23,1.744,1.685,1.91
2022-07-22 17:48:25,1.769,1.71,1.931
2022-07-22 18:48:27,1.739,1.68,1.901
2022-07-22 19:48:30,1.734,1.675,1.899
2022-07-22 20:48:33,1.793,1.737,1.955
2022-07-22 21:48:36,1.818,1.756,1.979
2022-07-22 22:48:38,1.826,1.765,1.988
2022-07-22 23:48:41,1.826,1.765,1.988
2022-07-23 00:48:43,1.826,1.765,1.988
2022-07-23 01:48:46,1.837,1.775,2.002
2022-07-23 02:48:48,1.837,1.775,2.002
2022-07-23 03:48:51,1.888,1.826,2.022
2022-07-23 04:48:53,1.899,1.841,2.026
2022-07-23 05:48:56,1.959,1.901,2.052
2022-07-23 06:48:59,1.811,1.753,1.952
