Datum,Super,E10,Diesel
2022-07-14 21:24:32,1.86,1.8,2.01
2022-07-14 22:22:41,1.86,1.8,2.01
2022-07-15 05:43:22,1.98,1.92,2.09
2022-07-15 08:53:21,1.892,1.832,2.032
2022-07-15 09:15:54,1.852,1.802,1.992
2022-07-15 10:15:56,1.872,1.812,2.032
2022-07-15 11:15:58,1.862,1.802,2.032
2022-07-15 12:16:01,1.802,1.742,1.952
2022-07-15 13:16:03,1.812,1.752,1.962
2022-07-15 14:16:05,1.812,1.752,1.942
2022-07-15 15:16:07,1.792,1.742,1.942
2022-07-15 16:16:10,1.782,1.742,1.912
2022-07-16 08:09:32,1.942,1.882,2.062
2022-07-16 09:09:34,1.822,1.762,1.942
2022-07-16 10:09:36,1.842,1.782,1.952
2022-07-16 11:09:39,1.822,1.762,1.952
2022-07-16 12:09:41,1.792,1.732,1.932
2022-07-16 13:09:43,1.822,1.762,1.962
2022-07-16 14:09:45,1.812,1.752,1.952
2022-07-20 10:18:56,1.854,1.793,2.029
2022-07-20 11:18:59,1.854,1.793,1.998
2022-07-20 12:19:01,1.793,1.752,1.947
2022-07-20 13:19:03,1.834,1.772,1.988
2022-07-20 14:19:06,1.834,1.772,1.988
2022-07-20 15:19:08,1.813,1.752,1.947
2022-07-20 16:19:10,1.803,1.752,1.947
2022-07-20 17:19:13,1.824,1.762,1.967
2022-07-20 17:35:04,1.824,1.762,1.977
2022-07-20 18:35:07,1.803,1.752,1.947
2022-07-20 19:35:09,1.783,1.752,1.947
2022-07-20 20:35:11,1.926,1.906,2.029
2022-07-20 20:50:17,1.926,1.906,2.029
2022-07-20 21:05:28,1.865,1.803,2.018
2022-07-20 22:05:30,1.865,1.803,2.018
2022-07-20 23:05:32,1.865,1.803,2.018
2022-07-21 00:05:34,1.865,1.803,2.018
2022-07-21 01:05:36,1.865,1.803,2.018
2022-07-21 02:05:38,1.865,1.803,2.018
2022-07-21 03:05:41,2.008,1.947,2.09
2022-07-21 04:05:43,2.008,1.947,2.111
2022-07-21 05:05:45,2.008,1.947,2.111
2022-07-21 06:05:48,1.998,1.936,2.09
2022-07-21 07:05:51,2.039,1.977,2.121
2022-07-21 08:05:54,2.03,1.969,2.112
2022-07-21 09:05:57,1.887,1.826,2.04
2022-07-21 09:51:17,1.867,1.805,1.979
2022-07-21 10:51:19,1.897,1.836,2.04
2022-07-21 11:51:22,1.836,1.775,1.989
2022-07-21 12:51:24,1.805,1.744,1.948
2022-07-21 13:51:26,1.856,1.795,1.989
2022-07-21 14:51:29,1.816,1.754,1.958
2022-07-21 15:51:31,1.795,1.734,1.969
2022-07-21 16:51:33,1.775,1.734,1.938
2022-07-21 17:51:35,1.805,1.744,1.969
2022-07-21 18:51:38,1.765,1.734,1.928
2022-07-21 19:51:41,1.765,1.734,1.928
2022-07-21 20:51:44,1.846,1.785,2.009
2022-07-21 21:51:46,1.846,1.785,2.009
